idEquipeNationale;idSportif;idEdition;nomPays
NULL;1;1;Jamaique
NULL;2;1;Jamaique
NULL;3;1;Jamaique
NULL;4;1;Jamaique
NULL;5;1;Jamaique
NULL;6;1;Jamaique
NULL;7;1;Jamaique
NULL;8;1;Jamaique
NULL;9;1;Jamaique
NULL;10;1;Jamaique
NULL;11;1;Jamaique
NULL;12;1;Jamaique
NULL;13;1;Jamaique
NULL;14;1;EtatsUnis
NULL;15;1;EtatsUnis
NULL;16;1;EtatsUnis
NULL;17;1;Chine
NULL;18;1;Chine
NULL;19;2;Suisse
NULL;20;2;Suisse
NULL;21;2;EtatsUnis
NULL;22;2;EtatsUnis
NULL;23;2;Lettonie
NULL;24;2;Lettonie
NULL;25;9;Jamaique
NULL;26;9;EtatsUnis
NULL;2;9;Jamaique
NULL;27;9;PaysBas
NULL;28;9;Bahamas
NULL;29;9;EtatsUnis
NULL;30;9;Jamaique
NULL;1;9;Jamaique
NULL;31;9;EtatsUnis
NULL;32;9;Canada
NULL;33;9;France
NULL;34;9;AfriqueDuSud
NULL;35;9;Grenade
NULL;16;9;EtatsUnis
NULL;36;1;TriniteEtTobago
NULL;37;1;EtatsUnis
NULL;38;1;EtatsUnis
NULL;39;1;EtatsUnis
NULL;40;1;EtatsUnis
