idPerformance;idSportif;idDiscipline;idEdition;record;medaille;score
NULL;1;1;1;Mondial;Or;9,69s
NULL;2;101;1;N;Or;10,78s
NULL;1;2;1;Mondial;Or;19,30s
NULL;3;102;1;N;Or;21,74s
NULL;4;104;1;Olympique;Or;52,64s
NULL;1;7;1;N;Or;37,10s
NULL;5;7;1;N;Or;37,10s
NULL;6;7;1;N;Or;37,10s
NULL;7;7;1;N;Or;37,10s
NULL;8;101;1;N;Ar;10,98s
NULL;9;101;1;N;Ar;10,98s
NULL;10;103;1;N;Ar;49,69s
NULL;9;102;1;N;Br;22s
NULL;10;108;1;N;Br;3min20,40s
NULL;11;108;1;N;Br;3min20,40s
NULL;12;108;1;N;Br;3min20,40s
NULL;13;108;1;N;Br;3min20,40s
NULL;14;4;1;N;Or;47,25s
NULL;15;105;1;N;Or;12,54s
NULL;16;3;1;N;Or;43,75s
NULL;17;1;1;N;N;10,40s
NULL;18;6;1;N;N;13,42s
NULL;19;9;2;N;Or;3min46,05s
NULL;20;9;2;N;Or;3min46,05s
NULL;21;9;2;N;Ar;3min46,27s
NULL;22;9;2;N;Ar;3min46,27s
NULL;23;9;2;N;Br;3min46,48s
NULL;24;9;2;N;Br;3min46,48s
NULL;25;101;9;N;Or;10,71s
NULL;26;101;9;N;Ar;10,83s
NULL;2;101;9;N;Br;10,86s
NULL;25;102;9;N;Or;21,78s
NULL;27;102;9;N;Ar;21,88s
NULL;26;102;9;N;Br;22,15s
NULL;28;103;9;N;Or;49,44s
NULL;29;103;9;N;Ar;49,51s
NULL;30;103;9;N;Br;49,85s
NULL;1;1;9;N;Or;9,81s
NULL;31;1;9;N;Ar;9,89s
NULL;32;1;9;N;Br;9,91s
NULL;1;2;9;N;Or;19,78s
NULL;32;2;9;N;Ar;20,02s
NULL;33;2;9;N;Br;20,12s
NULL;34;3;9;Mondial;Or;43,03s
NULL;35;3;9;N;Ar;43,76s
NULL;16;3;9;N;Br;43,85s
NULL;36;1;1;N;Ar;9,89s
NULL;37;1;1;N;Br;9,91s
NULL;38;2;1;N;Ar;19,96s
NULL;37;2;1;N;Br;19,98s
NULL;16;3;1;N;Or;43,75s
NULL;39;3;1;N;Ar;44,74s
NULL;40;3;1;N;Br;44,80s
